request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000 today. This leaves at least IDR 24,768,300 available over the next 90 days."
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670 today. This leaves at least ZAR 20,500 available over the next 90 days."
request_28,412.2,affordable_later,wait,2024-07-14:1302.4,2024-07-14,none,"Pay EUR 1,302.40 in full on 2024-07-14. Paying earlier would take the balance below the EUR 1,100 minimum."
request_29,21289.31,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 51,524 request. Although ZAR 21,289.31 is available today, the full amount cannot be completed safely within 90 days."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 2026-04-06. This leaves at least USD 900 available."
request_31,9906153.3,affordable_later,wait,2024-09-14:18164000,2024-09-14,none,"Pay IDR 18,164,000 in full on 2024-09-14. Paying earlier would take the balance below the IDR 16,588,900 minimum."
request_32,23199.0,affordable_later,wait,2025-02-14:40018,2025-02-14,none,"Pay ZAR 40,018 in full on 2025-02-14. Paying earlier would take the balance below the ZAR 35,700 minimum."
request_33,51782.22,affordable_later,wait,2026-02-13:118000,2026-02-13,none,"Pay INR 118,000 in full on 2026-02-13. Paying earlier would take the balance below the INR 102,100 minimum."
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400 today. This leaves at least INR 138,500 available over the next 90 days."
request_35,31470.15,affordable_later,wait,2026-01-13:212000,2026-01-13,none,"Pay INR 212,000 in full on 2026-01-13. Paying earlier would take the balance below the INR 106,400 minimum."
request_36,485.26,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 3,954 request. Although USD 485.26 is available today, the full amount cannot be completed safely within 90 days."
request_37,4961190.16,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 14,649,000 request. Although IDR 4,961,190.16 is available today, the full amount cannot be completed safely within 90 days."
request_38,244.87,affordable_later,wait,2025-10-13:971.3,2025-10-13,none,Pay EUR 971.30 in full on 2025-10-13. Paying earlier would take the balance below the EUR 400 minimum.
request_39,149777.5,affordable_later,wait,2026-04-14:208600,2026-04-14,none,"Pay INR 208,600 in full on 2026-04-14. Paying earlier would take the balance below the INR 213,400 minimum."
request_40,522.1,affordable_later,wait,2024-06-14:1290.3,2024-06-14,none,"Pay EUR 1,290.30 in full on 2024-06-14. Paying earlier would take the balance below the EUR 1,500 minimum."
request_41,10670912.04,affordable_later,wait,2025-11-14:38760000,2025-11-14,none,"Pay IDR 38,760,000 in full on 2025-11-14. Paying earlier would take the balance below the IDR 25,366,600 minimum."
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Pay INR 52,100 today. This leaves at least INR 113,100 available over the next 90 days."
request_43,11485500.0,affordable_later,wait,2024-09-15:43339000,2024-09-15,none,"Pay IDR 43,339,000 in full on 2024-09-15. Paying earlier would take the balance below the IDR 21,398,000 minimum."
request_44,46040.28,affordable_later,wait,2025-02-14:95800,2025-02-14,none,"Pay INR 95,800 in full on 2025-02-14. Paying earlier would take the balance below the INR 82,900 minimum."
request_45,6059752.01,affordable_later,wait,2026-08-14:21983000,2026-08-14,none,"Pay IDR 21,983,000 in full on 2026-08-14. Paying earlier would take the balance below the IDR 11,149,800 minimum."
request_46,49450.0,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,2024-12-03,none,"Use 2 installments of INR 25,714, starting 2024-12-03. This leaves at least INR 84,000 available."
request_47,38114000.0,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,"Pay IDR 38,114,000 today. This leaves at least IDR 30,049,000 available over the next 90 days."
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Pay INR 45,700 today. This leaves at least INR 71,300 available over the next 90 days."
request_49,14336932.32,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-04-15,none,"Use 3 installments of IDR 11,902,106.67, starting 2024-03-18. This leaves at least IDR 20,275,700 available."
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Pay INR 43,900 today. This leaves at least INR 99,700 available over the next 90 days."
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000 today. This leaves at least IDR 7,811,000 available over the next 90 days."
request_52,23176.01,affordable_later,wait,2024-06-14:28870,2024-06-14,none,"Pay INR 28,870 in full on 2024-06-14. Paying earlier would take the balance below the INR 41,500 minimum."
request_53,792.55,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-12-14,none,"Use 3 installments of USD 589.06, starting 2025-11-21. This leaves at least USD 2,100 available."
request_54,10088.84,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 121,528 request. Although ZAR 10,088.84 is available today, the full amount cannot be completed safely within 90 days."
request_55,142816.66,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-14,none,"Use 3 installments of INR 75,781.33, starting 2026-06-11. This leaves at least INR 124,300 available."
request_56,567.2,affordable_with_plan,partial_payment,2025-02-03:567.2|2025-02-14:314.36,2025-02-14,none,"Pay USD 567.20 today and the remaining USD 314.36 on 2025-02-14. This completes the full request and keeps the USD 2,100 minimum protected."
request_57,11148.4,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 61,446 request. Although ZAR 11,148.40 is available today, the full amount cannot be completed safely within 90 days."
request_58,16226000.0,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,"Pay IDR 16,226,000 today. This leaves at least IDR 14,433,900 available over the next 90 days."
request_59,140600.0,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48,741.33, starting 2025-05-07. This leaves at least INR 132,600 available."
request_60,165.59,affordable_later,wait,2026-03-15:199.89,2026-03-15,none,Pay USD 199.89 in full on 2026-03-15. Paying earlier would take the balance below the USD 400 minimum.
request_61,28248.15,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,,reduce_to:event_5712:784.3,"Use 3 installments of ZAR 10,074.83, starting 2024-03-17. This leaves at least ZAR 36,700 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 1,300 available over the next 90 days."
request_63,55478.54,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 343,900 request. Although INR 55,478.54 is available today, the full amount cannot be completed safely within 90 days."
request_64,46592.77,affordable_with_plan,installments,2024-06-11:22082.67|2024-07-12:22082.67|2024-08-12:22082.67,2024-07-14,none,"Use 3 installments of INR 22,082.67, starting 2024-06-11. This leaves at least INR 36,100 available."
request_65,8587.82,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 54,340 request. Although ZAR 8,587.82 is available today, the full amount cannot be completed safely within 90 days."
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200 today. This leaves at least INR 80,700 available over the next 90 days."
request_67,531.02,affordable_later,wait,2024-09-14:2094,2024-09-14,none,"Pay USD 2,094 in full on 2024-09-14. Paying earlier would take the balance below the USD 1,200 minimum."
request_68,1315.92,not_affordable,not_recommended,none,2025-04-24,none,"Do not proceed with the USD 2,091.60 request. Although USD 1,315.92 is available today, the full amount cannot be completed safely within 90 days."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,Pay EUR 529.10 today. This leaves at least EUR 700 available over the next 90 days.
request_70,51819.46,affordable_later,wait,2025-02-13:243900,2025-02-13,none,"Pay INR 243,900 in full on 2025-02-13. Paying earlier would take the balance below the INR 115,000 minimum."
request_71,641062.55,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 21,451,000 request. Although IDR 641,062.55 is available today, the full amount cannot be completed safely within 90 days."
request_72,7481.68,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 11,330 request. Although ZAR 7,481.68 is available today, the full amount cannot be completed safely within 90 days."
request_73,71400.0,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"Pay INR 71,400 today. This leaves at least INR 103,200 available over the next 90 days."
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010 today. This leaves at least ZAR 21,900 available over the next 90 days."
request_75,13325.35,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 28,270 request. Although ZAR 13,325.35 is available today, the full amount cannot be completed safely within 90 days."
request_76,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-07-30. None of the available options keeps the USD 1,800 minimum protected."
request_77,60700.0,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,"Pay INR 60,700 today. This leaves at least INR 82,200 available over the next 90 days."
request_78,45879.43,affordable_later,wait,2025-10-15:50200,2025-10-15,none,"Pay INR 50,200 in full on 2025-10-15. Paying earlier would take the balance below the INR 55,200 minimum."
request_79,747.64,affordable_with_plan,partial_payment,2024-09-04:747.64|2024-09-15:1403.96,2024-09-15,none,"Pay EUR 747.64 today and the remaining EUR 1,403.96 on 2024-09-15. This completes the full request and keeps the EUR 1,000 minimum protected."
request_80,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-21. None of the available options keeps the INR 121,300 minimum protected."
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Pay USD 2,076 today. This leaves at least USD 1,600 available over the next 90 days."
request_82,458.76,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 1,405.20 request. Although USD 458.76 is available today, the full amount cannot be completed safely within 90 days."
request_83,5269.43,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 156,200 request. Although INR 5,269.43 is available today, the full amount cannot be completed safely within 90 days."
request_84,31229.08,affordable_later,wait,2026-06-13:95400,2026-06-13,none,"Pay INR 95,400 in full on 2026-06-13. Paying earlier would take the balance below the INR 91,300 minimum."
request_85,817958.09,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 19,304,000 request. Although IDR 817,958.09 is available today, the full amount cannot be completed safely within 90 days."
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Pay INR 46,300 today. This leaves at least INR 84,900 available over the next 90 days."
request_87,37161.76,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 487,900 request. Although INR 37,161.76 is available today, the full amount cannot be completed safely within 90 days."
request_88,11959.79,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-14,none,"Use 3 installments of ZAR 9,045.23, starting 2024-06-14. This leaves at least ZAR 25,800 available."
request_89,9453735.39,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-14,none,"Use 3 installments of IDR 4,768,746.67, starting 2025-11-18. This leaves at least IDR 12,534,700 available."
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560 today. This leaves at least ZAR 7,600 available over the next 90 days."
